Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 1


SUMMARY  Delta T  Size     Destination   Source        Summary

M    1    0.0000    60  blue         cacilj        NCP C Service queue 000200A7 job
     2    0.0009   106  cacilj       blue          NCP R Bindery error
     3    0.0320    60  blue         cacilj        NCP C Service queue 000000CF job
     4    0.0009   106  cacilj       blue          NCP R Bindery error
     5    0.0321    60  blue         cacilj        NCP C Service queue 000400E5 job
     6    0.0009   106  cacilj       blue          NCP R Bindery error
     7    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
     8    0.0009   106  cacilj       blue          NCP R Bindery error
     9    5.0846    60  blue         cacilj        NCP C Service queue 000200A7 job
    10    0.0009   106  cacilj       blue          NCP R Bindery error
    11    0.0320    60  blue         cacilj        NCP C Service queue 000000CF job
    12    0.0009   106  cacilj       blue          NCP R Bindery error
    13    0.0320    60  blue         cacilj        NCP C Service queue 000400E5 job
    14    0.0009   106  cacilj       blue          NCP R Bindery error
    15    0.0321    60  blue         cacilj        NCP C Service queue 00010015 job
    16    0.0009   106  cacilj       blue          NCP R Bindery error
    17    0.3857    64  blue         superfly      NCP C F=D21A Read 576 at 371136
    18    0.0012   630  superfly     blue          NCP R OK 576 bytes read
    19    0.0010    64  blue         superfly      NCP C F=D21A Read 764 at 371712
    20    0.0014   818  superfly     blue          NCP R OK 764 bytes read
    21    0.0047    64  blue         superfly      NCP C F=D21A Read 112 at 381840
    22    0.0007   166  superfly     blue          NCP R OK 112 bytes read
    23    0.0008    64  blue         superfly      NCP C F=D21A Read 942 at 381952
    24    0.0016   996  superfly     blue          NCP R OK 942 bytes read
    25    0.0071    64  blue         superfly      NCP C F=D21A Read 816 at 420048
    26    0.0015   870  superfly     blue          NCP R OK 816 bytes read
    27    0.0012    64  blue         superfly      NCP C F=D21A Read 1024 at 420864
    28    0.0016  1078  superfly     blue          NCP R OK 1024 bytes read
    29    0.0013    64  blue         superfly      NCP C F=D21A Read 629 at 421888
    30    0.0012   684  superfly     blue          NCP R OK 629 bytes read
    31    0.0549    64  blue         superfly      NCP C F=D21A Read 400 at 379504
    32    0.0012   454  superfly     blue          NCP R OK 400 bytes read
    33    0.0010    64  blue         superfly      NCP C F=D21A Read 1024 at 379904
    34    0.0017  1078  superfly     blue          NCP R OK 1024 bytes read
    35    0.0013    64  blue         superfly      NCP C F=D21A Read 879 at 380928
    36    0.0015   934  superfly     blue          NCP R OK 879 bytes read
    37    0.0056   314  blue         superfly      NCP C Create queue 000200A7 job
    38    0.0541   106  superfly     blue          NCP R OK F=4218 Job=945
    39    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 0
    40    0.0006    60  superfly     blue          NCP R OK
    41    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 64
    42    0.0006    60  superfly     blue          NCP R OK
    43    0.0053   128  blue         superfly      NCP C F=4218 Write 64 at 128
    44    0.0006    60  superfly     blue          NCP R OK
    45    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 192
    46    0.0005    60  superfly     blue          NCP R OK
    47    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 256
    48    0.0005    60  superfly     blue          NCP R OK
    49    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 320
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 2


SUMMARY  Delta T  Size     Destination   Source        Summary

    50    0.0006    60  superfly     blue          NCP R OK
    51    0.0057   128  blue         superfly      NCP C F=4218 Write 64 at 384
    52    0.0006    60  superfly     blue          NCP R OK
    53    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 448
    54    0.0006    60  superfly     blue          NCP R OK
    55    0.0059   128  blue         superfly      NCP C F=4218 Write 64 at 512
    56    0.0006    60  superfly     blue          NCP R OK
    57    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 576
    58    0.0006    60  superfly     blue          NCP R OK
    59    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 640
    60    0.0006    60  superfly     blue          NCP R OK
    61    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 704
    62    0.0006    60  superfly     blue          NCP R OK
    63    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 768
    64    0.0006    60  superfly     blue          NCP R OK
    65    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 832
    66    0.0006    60  superfly     blue          NCP R OK
    67    0.0057   128  blue         superfly      NCP C F=4218 Write 64 at 896
    68    0.0005    60  superfly     blue          NCP R OK
    69    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 960
    70    0.0006    60  superfly     blue          NCP R OK
    71    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 1024
    72    0.0006    60  superfly     blue          NCP R OK
    73    0.0043   128  blue         superfly      NCP C F=4218 Write 64 at 1088
    74    0.0006    60  superfly     blue          NCP R OK
    75    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 1152
    76    0.0006    60  superfly     blue          NCP R OK
    77    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 1216
    78    0.0006    60  superfly     blue          NCP R OK
    79    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 1280
    80    0.0006    60  superfly     blue          NCP R OK
    81    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 1344
    82    0.0006    60  superfly     blue          NCP R OK
    83    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 1408
    84    0.0006    60  superfly     blue          NCP R OK
    85    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 1472
    86    0.0006    60  superfly     blue          NCP R OK
    87    0.0059   128  blue         superfly      NCP C F=4218 Write 64 at 1536
    88    0.0006    60  superfly     blue          NCP R OK
    89    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 1600
    90    0.0005    60  superfly     blue          NCP R OK
    91    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 1664
    92    0.0005    60  superfly     blue          NCP R OK
    93    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 1728
    94    0.0005    60  superfly     blue          NCP R OK
    95    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 1792
    96    0.0005    60  superfly     blue          NCP R OK
    97    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 1856
    98    0.0006    60  superfly     blue          NCP R OK
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 3


SUMMARY  Delta T  Size     Destination   Source        Summary

    99    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 1920
   100    0.0005    60  superfly     blue          NCP R OK
